kind,label,block_index,measurement_index,coeff_norm_mean,proj_norm_mean,relative_proj_mean,max_coeff_mean
dual,Van Gogh,6,16,64.86298370361328,64.86298370361328,0.4803193509578705,0.44635099172592163
dual,Van Gogh,6,17,52.81635665893555,52.81635665893555,0.5049788355827332,0.3645382523536682
dual,Van Gogh,6,18,51.35795974731445,51.35795974731445,0.5243842005729675,0.3474765121936798
dual,Van Gogh,6,19,51.3859748840332,51.3859748840332,0.5496233701705933,0.33895185589790344
dual,Van Gogh,7,0,44.102901458740234,44.1029052734375,0.44883501529693604,0.42688360810279846
dual,Van Gogh,7,1,39.54385757446289,39.543861389160156,0.5461163520812988,0.3919236958026886
dual,Van Gogh,7,2,40.72892761230469,40.72893142700195,0.5833249092102051,0.39084115624427795
dual,Van Gogh,7,3,40.84468078613281,40.84468078613281,0.6057180166244507,0.380566269159317
dual,Van Gogh,7,4,44.44245147705078,44.44245529174805,0.4503222107887268,0.43109747767448425
dual,Van Gogh,7,5,36.78156280517578,36.78156280517578,0.5161128640174866,0.3747989237308502
dual,Van Gogh,7,6,39.25947570800781,39.25947570800781,0.5628296136856079,0.37331143021583557
dual,Van Gogh,7,7,40.28050231933594,40.2805061340332,0.5894085764884949,0.3645836412906647
dual,Van Gogh,7,8,44.5214729309082,44.5214729309082,0.4536452889442444,0.4302407205104828
dual,Van Gogh,7,9,35.2768440246582,35.2768440246582,0.5054956078529358,0.3694252371788025
dual,Van Gogh,7,10,34.800689697265625,34.800689697265625,0.5352074503898621,0.369723916053772
dual,Van Gogh,7,11,35.25483703613281,35.25483703613281,0.5580692291259766,0.359952837228775
dual,Van Gogh,7,12,44.30318069458008,44.30318069458008,0.4542625844478607,0.4330178499221802
dual,Van Gogh,7,13,35.94234085083008,35.94234085083008,0.5133622884750366,0.3687998056411743
dual,Van Gogh,7,14,37.40423583984375,37.40423583984375,0.5553921461105347,0.3667409121990204
dual,Van Gogh,7,15,38.84788131713867,38.84788131713867,0.587348222732544,0.359840989112854
dual,Van Gogh,7,16,45.46269989013672,45.46269989013672,0.4604097902774811,0.43868231773376465
dual,Van Gogh,7,17,37.25456619262695,37.25456619262695,0.5204758644104004,0.37410226464271545
dual,Van Gogh,7,18,38.650272369384766,38.65027618408203,0.5587719082832336,0.36786752939224243
dual,Van Gogh,7,19,39.49913787841797,39.49913787841797,0.5842450261116028,0.3610658645629883
dual,Van Gogh,8,0,52.74180221557617,52.7418098449707,0.42722514271736145,0.40288054943084717
