report,branch,block_index,concept,group,similarity_to_target,is_global
raw,single,18,Taylor Swift,fruits,0.8442685604095459,0
raw,single,19,Doggo,paraphrase_like,0.9470819234848022,0
raw,single,19,Canine,paraphrase_like,0.9238345623016357,0
raw,single,19,Lion,related_animals,0.8973323702812195,0
raw,single,19,Wolf,related_animals,0.8907997608184814,0
raw,single,19,Apple,fruits,0.8387018442153931,0
raw,single,19,Taylor Swift,fruits,0.863531231880188,0
raw,single,20,Doggo,paraphrase_like,0.9470384120941162,0
raw,single,20,Canine,paraphrase_like,0.9263606667518616,0
raw,single,20,Lion,related_animals,0.8939430713653564,0
raw,single,20,Wolf,related_animals,0.8981539011001587,0
raw,single,20,Apple,fruits,0.8219466209411621,0
raw,single,20,Taylor Swift,fruits,0.8680672645568848,0
raw,single,21,Doggo,paraphrase_like,0.9500192999839783,0
raw,single,21,Canine,paraphrase_like,0.9310570955276489,0
raw,single,21,Lion,related_animals,0.8953560590744019,0
raw,single,21,Wolf,related_animals,0.9139107465744019,0
raw,single,21,Apple,fruits,0.8418987393379211,0
raw,single,21,Taylor Swift,fruits,0.8794155120849609,0
raw,single,22,Doggo,paraphrase_like,0.9498276710510254,0
raw,single,22,Canine,paraphrase_like,0.9409701228141785,0
raw,single,22,Lion,related_animals,0.9161782264709473,0
raw,single,22,Wolf,related_animals,0.9269063472747803,0
raw,single,22,Apple,fruits,0.8386821746826172,0
raw,single,22,Taylor Swift,fruits,0.8935373425483704,0
raw,single,23,Doggo,paraphrase_like,0.9659130573272705,0
raw,single,23,Canine,paraphrase_like,0.9543178677558899,0
raw,single,23,Lion,related_animals,0.9338055849075317,0
raw,single,23,Wolf,related_animals,0.9424026012420654,0
raw,single,23,Apple,fruits,0.8689881563186646,0
raw,single,23,Taylor Swift,fruits,0.910473108291626,0
raw,single,24,Doggo,paraphrase_like,0.9705816507339478,0
raw,single,24,Canine,paraphrase_like,0.9661526679992676,0
raw,single,24,Lion,related_animals,0.9510419964790344,0
raw,single,24,Wolf,related_animals,0.9556944966316223,0
raw,single,24,Apple,fruits,0.8808270692825317,0
raw,single,24,Taylor Swift,fruits,0.9267282485961914,0
raw,single,25,Doggo,paraphrase_like,0.956494152545929,0
raw,single,25,Canine,paraphrase_like,0.9472015500068665,0
raw,single,25,Lion,related_animals,0.9392861127853394,0
raw,single,25,Wolf,related_animals,0.932902991771698,0
raw,single,25,Apple,fruits,0.8520431518554688,0
raw,single,25,Taylor Swift,fruits,0.8957999348640442,0
raw,single,26,Doggo,paraphrase_like,0.9606914520263672,0
raw,single,26,Canine,paraphrase_like,0.9559474587440491,0
raw,single,26,Lion,related_animals,0.9505650401115417,0
