report,branch,block_index,concept,group,similarity_to_target,is_global
cleaned,single,9,Lion,related_animals,0.19143402576446533,0
cleaned,single,9,Wolf,related_animals,0.4824375510215759,0
cleaned,single,9,Apple,fruits,0.35456669330596924,0
cleaned,single,9,Taylor Swift,fruits,0.4097834527492523,0
cleaned,single,10,Doggo,paraphrase_like,0.9282026290893555,0
cleaned,single,10,Canine,paraphrase_like,0.9025115966796875,0
cleaned,single,10,Lion,related_animals,0.30246567726135254,0
cleaned,single,10,Wolf,related_animals,0.5101808309555054,0
cleaned,single,10,Apple,fruits,0.46019941568374634,0
cleaned,single,10,Taylor Swift,fruits,0.4457456171512604,0
cleaned,single,11,Doggo,paraphrase_like,0.9087592363357544,0
cleaned,single,11,Canine,paraphrase_like,0.8902076482772827,0
cleaned,single,11,Lion,related_animals,0.42973271012306213,0
cleaned,single,11,Wolf,related_animals,0.5699294805526733,0
cleaned,single,11,Apple,fruits,0.4905011057853699,0
cleaned,single,11,Taylor Swift,fruits,0.4770404100418091,0
cleaned,single,12,Doggo,paraphrase_like,0.902286171913147,0
cleaned,single,12,Canine,paraphrase_like,0.8844509720802307,0
cleaned,single,12,Lion,related_animals,0.3403182029724121,0
cleaned,single,12,Wolf,related_animals,0.5250977277755737,0
cleaned,single,12,Apple,fruits,0.4640311002731323,0
cleaned,single,12,Taylor Swift,fruits,0.4434698224067688,0
cleaned,single,13,Doggo,paraphrase_like,0.8921194076538086,0
cleaned,single,13,Canine,paraphrase_like,0.8514902591705322,0
cleaned,single,13,Lion,related_animals,0.37468385696411133,0
cleaned,single,13,Wolf,related_animals,0.506886899471283,0
cleaned,single,13,Apple,fruits,0.5143786668777466,0
cleaned,single,13,Taylor Swift,fruits,0.47716477513313293,0
cleaned,single,14,Doggo,paraphrase_like,0.8941702842712402,0
cleaned,single,14,Canine,paraphrase_like,0.861335039138794,0
cleaned,single,14,Lion,related_animals,0.5184628963470459,0
cleaned,single,14,Wolf,related_animals,0.6018490791320801,0
cleaned,single,14,Apple,fruits,0.5972321033477783,0
cleaned,single,14,Taylor Swift,fruits,0.5833384394645691,0
cleaned,single,15,Doggo,paraphrase_like,0.8926469087600708,0
cleaned,single,15,Canine,paraphrase_like,0.848333477973938,0
cleaned,single,15,Lion,related_animals,0.5314271450042725,0
cleaned,single,15,Wolf,related_animals,0.652437686920166,0
